Species,English.x,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023,English.y,Bessey,MacKelvie,Pine Ridge
89.5,Red-shouldered Hawk,Buteo lineatus,NA,NA,Hypothetical,NA,NA,NA,NA,NA
90,Broad-winged Hawk,Buteo platypterus,NA,NA,X,X,NA,1,NA,1
91,Swainson's Hawk,Buteo swainsoni,X,NA,X,X,NA,1,1,1
92,Red-tailed Hawk,Buteo jamaicensis,NA,NA,X,X,NA,1,1,1
93,Ferruginous Hawk,Buteo regalis,X,NA,X,X,NA,1,1,1
94,Rough-legged Buzzard,Buteo lagopus,NA,NA,X,X,NA,1,NA,1
95,Barn Owl,Tyto alba,NA,NA,X,X,NA,1,NA,1
96,Northern Saw-whet Owl,Aegolius acadicus,NA,NA,Hypothetical,X,NA,1,NA,1
97,Burrowing Owl,Athene cunicularia,X,NA,X,X,NA,1,1,1
98,Long-eared Owl,Asio otus,NA,NA,X,NA,NA,1,NA,NA
99,Short-eared Owl,Asio flammeus,X,NA,X,NA,NA,1,NA,1
100,Great Horned Owl,Bubo virginianus,NA,NA,X,X,NA,1,1,1
101,Eastern Screech Owl,Megascops asio,X,NA,X,X,NA,1,1,1
102,Belted Kingfisher,Megaceryle alcyon,X,NA,X,X,NA,1,1,1
102.5,Lewis's Woodpecker,Melanerpes lewis,NA,NA,Hypothetical,NA,NA,NA,NA,1
103,Red-headed Woodpecker,Melanerpes erythrocephalus,X,NA,X,X,NA,1,1,1
104,Red-bellied Woodpecker,Melanerpes carolinus,NA,NA,X,X,NA,1,1,1
105,Yellow-bellied Sapsucker,Sphyrapicus varius,NA,NA,X,X,NA,1,NA,1
106,Downy Woodpecker,Dryobates pubescens,X,NA,X,X,NA,1,1,1
107,Hairy Woodpecker,Leuconotopicus villosus,X,NA,X,X,NA,1,1,1
108,Northern Flicker,Colaptes auratus,X,NA,X,X,NA,1,1,1
109,American Kestrel,Falco sparverius,X,NA,X,X,NA,1,1,1
110,Merlin,Falco columbarius,X,NA,X,X,NA,1,1,1
111,Prairie Falcon,Falco mexicanus,X,NA,X,X,NA,1,NA,1
112,Peregrine Falcon,Falco peregrinus,NA,NA,X,NA,NA,1,NA,1
113,Eastern Phoebe,Sayornis phoebe,NA,NA,X,X,NA,1,1,1
114,Say's Phoebe,Sayornis saya,X,NA,X,X,NA,1,1,1
115,Olive-sided Flycatcher,Contopus cooperi,NA,NA,X,NA,NA,1,NA,1
116,Western Wood Pewee,Contopus sordidulus,X,NA,X,X,NA,1,1,1
117,Eastern Wood Pewee,Contopus virens,NA,NA,X,X,NA,1,1,1
118,Yellow-bellied Flycatcher,Empidonax flaviventris,NA,NA,X,NA,NA,1,NA,NA
119,Willow Flycatcher,Empidonax traillii,X,NA,X,X,NA,1,NA,1
120,Alder Flycatcher,Empidonax alnorum,NA,NA,X,X,NA,1,NA,1
121,Least Flycatcher,Empidonax minimus,NA,NA,X,X,NA,1,1,1
122,Western Kingbird,Tyrannus verticalis,X,NA,X,X,NA,1,1,1
123,Scissor-tailed Flycatcher,Tyrannus forficatus,NA,X,X,NA,NA,1,NA,NA
124,Eastern Kingbird,Tyrannus tyrannus,X,X,X,X,NA,1,1,1
125,Great Crested Flycatcher,Myiarchus crinitus,NA,NA,X,X,NA,1,1,1
126,Loggerhead Shrike,Lanius ludovicianus,X,NA,X,X,NA,1,1,1
127,Northern Shrike,Lanius borealis,X,NA,X,X,NA,1,1,1
128,Red-eyed Vireo,Vireo olivaceus,X,X,X,X,NA,1,1,1
