Species,SciName,Bray,Notes
Upland Sandpiper,Bartramia longicauda,Confirmed,
Long-billed Curlew,Numenius americanus,Confirmed,
Semipalmated Sandpiper,Calidris pusilla,Confirmed,
Western Sandpiper,Calidris mauri,Confirmed,
Least Sandpiper,Calidris minutilla,Confirmed,
White-rumped Sandpiper,Calidris fuscicollis,Confirmed,
Baird’s Sandpiper,Calidris bairdii,Confirmed,
Pectoral Sandpiper,Calidris melanotos,Confirmed,
Stilt Sandpiper,Calidris himantopus,Confirmed,
Buff-breasted Sandpiper,Calidris subruficollis,Confirmed,
Dowitcher sp.,Limnodromus sp.,Confirmed,
Wilson’s Snipe,Gallinago delicata,Confirmed,
Wilson’s Phalarope,Phalaropus tricolor,Confirmed,
Franklin’s Gull,Leucophaeus pipixcan,Confirmed,
Ring-billed Gull,Larus delawarensis,Confirmed,
Forster’s Tern,Sterna forsteri,Confirmed,
Least Tern,Sternula antillarum,Confirmed,
Black Tern,Chlidonias niger,Confirmed,
Rock Pigeon,Columba livia,Confirmed,
Mourning Dove,Zenaida macroura,Confirmed,
Black-billed Cuckoo,Coccyzus erythropthalmus,Confirmed,
Yellow-billed cuckoo,Coccyzus americanus,Confirmed,
Barn Owl,Tyto alba,Confirmed,
Eastern Screech-Owl,Megascops asio,Confirmed,
Great Horned Owl,Bubo virginianus,Confirmed,
Burrowing Owl,Athene cunicularia,Confirmed,
Long-eared Owl,Asio otus,Confirmed,
Short-eared Owl,Asio flammeus,Confirmed,
Northern Saw-whet Owl,Aegolius acadicus,Hypothetical,
Common Nighthawk,Chordeiles minor,Confirmed,
Common Poorwill,Phalaenoptilus nuttallii,Confirmed,
Chuck-will’s-widow,Antrostomus carolinensis,Hypothetical,
Chimney Swift,Chaetura pelagica,Confirmed,
Ruby-throated Hummingbird,Archilochus colubris,Confirmed,
Belted Kingfisher,Megaceryle alcyon,Confirmed,
Red-headed Woodpecker,Melanerpes erythrocephalus,Confirmed,
Lewis’ Woodpecker,Melanerpes lewis,Hypothetical,
Red-bellied Woodpecker,Melanerpes carolinus,Confirmed,
Yellow-bellied Sapsucker,Sphyrapicus varius,Confirmed,
Downy Woodpecker,Dryobates pubescens,Confirmed,
Hairy Woodpecker,Leuconotopicus villosus,Confirmed,
Northern Flicker,Colaptes auratus,Confirmed,
Olive-sided Flycatcher,Contopus cooperi,Confirmed,
Western Wood-Pewee,Contopus sordidulus,Confirmed,
Eastern Wood-Pewee,Contopus virens,Confirmed,
Yellow-bellied Flycatcher,Empidonax flaviventris,Confirmed,
Alder Flycatcher,Empidonax alnorum,Confirmed,
Willow Flycatcher,Empidonax traillii,Confirmed,
Least Flycatcher,Empidonax minimus,Confirmed,
Eastern Phoebe,Sayornis phoebe,Confirmed,
Say’s Phoebe,Sayornis saya,Confirmed,
Great Crested Flycatcher,Myiarchus crinitus,Confirmed,
Western Kingbird,Tyrannus verticalis,Confirmed,
Eastern Kingbird,Tyrannus tyrannus,Confirmed,
Scissor-tailed Flycatcher,Tyrannus forficatus,Confirmed,
Horned Lark,Eremophila alpestris,Confirmed,
Tree Swallow,Tachycineta bicolor,Confirmed,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Confirmed,
Bank Swallow,Riparia riparia,Confirmed,
Cliff Swallow,Petrochelidon pyrrhonota,Confirmed,
Barn Swallow,Hirundo rustica,Confirmed,
Gray Jay,Perisoreus canadensis,Hypothetical,
Blue Jay,Cyanocitta cristata,Confirmed,
Pinyon Jay,Gymnorhinus cyanocephalus,Confirmed,
Clark’s Nutcracker,Nucifraga columbiana,Confirmed,
Black-billed Magpie,Pica hudsonia,Confirmed,
American Crow,Corvus brachyrhynchos,Confirmed,
Common Raven,Corvus corax,Hypothetical,
Black-capped Chickadee,Poecile atricapillus,Confirmed,
Red-breasted Nuthatch,Sitta canadensis,Confirmed,
White-breasted Nuthatch,Sitta carolinensis,Confirmed,
Brown Creeper,Certhia americana,Confirmed,
Rock Wren,Salpinctes obsoletus,Confirmed,
House Wren,Troglodytes aedon,Confirmed,
Winter Wren,Troglodytes hiemalis,Confirmed,
Sedge Wren,Cistothorus stellaris,Confirmed,
Marsh Wren,Cistothorus palustris,Confirmed,
Golden-crowned Kinglet,Regulus satrapa,Confirmed,
Ruby-crowned Kinglet,Corthylio calendula,Confirmed,
Eastern Bluebird,Sialia sialis,Confirmed,
Mountain Bluebird,Sialia currucoides,Confirmed,
Townsend’s Solitaire,Myadestes townsendi,Confirmed,
Veery,Catharus fuscescens,Confirmed,
Gray-cheeked Thrush,Catharus minimus,Confirmed,
Swainson’s Thrush,Catharus ustulatus,Confirmed,
Hermit Thrush,Catharus guttatus,Confirmed,
Wood Thrush,Hylocichla mustelina,Extirpated,Former
American Robin,Turdus migratorius,Confirmed,
Gray Catbird,Dumetella carolinensis,Confirmed,
Northern Mockingbird,Mimus polyglottos,Confirmed,
Brown Thrasher,Toxostoma rufum,Confirmed,Increased due to forest
American Pipit,Anthus rubescens,Confirmed,
Sprague’s Pipit,Anthus spragueii,Confirmed,
Bohemian Waxwing,Bombycilla garrulus,Confirmed,
Cedar Waxwing,Bombycilla cedrorum,Confirmed,
Northern Shrike,Lanius borealis,Confirmed,
Loggerhead Shrike,Lanius ludovicianus,Confirmed,Increased towards the 90s
European Starling,Sturnus vulgaris,Confirmed,
Bell’s Vireo,Vireo bellii,Confirmed,
Blue-headed Vireo,Vireo solitarius,Confirmed,
Yellow-throated Vireo,Vireo flavifrons,Confirmed,
Eastern Warbling-Vireo,Vireo gilvus,Confirmed,
Philadelphia Vireo,Vireo philadelphicus,Confirmed,
Red-eyed Vireo,Vireo olivaceus,Confirmed,
Blue-winged Warbler,Vermivora cyanoptera,Confirmed,
Tennessee Warbler,Leiothlypis peregrina,Confirmed,
Orange-crowned Wabrler,Leiothlypis celata,Confirmed,
Nashville Warbler,Leiothlypis ruficapilla,Confirmed,
Northern Parula,Setophaga americana,Confirmed,
Yellow Warbler,Setophaga petechia,Confirmed,
Chestnut-sided Warbler,Setophaga pensylvanica,Confirmed,
Cape May Warbler,Setophaga tigrina,Confirmed,
Myrtle Warbler,Setophaga coronata,Confirmed,
Rocky Mountain Warbler,Setophaga auduboni,Confirmed,
Townsend’s Warbler,Setophaga townsendi,Confirmed,
Black-throated Green Warbler,Setophaga virens,Confirmed,
Blackburnian Warbler,Setophaga fusca,Confirmed,
Pine Warbler,Setophaga pinus,Confirmed,
Western Palm-Warbler,Setophaga palmarum,Confirmed,
Bay-breasted Warbler,Setophaga castanea,Confirmed,
Blackpoll Warbler,Setophaga striata,Confirmed,
Black-and-white Warbler,Mniotilta varia,Confirmed,
American redstart,Setophaga ruticilla,Confirmed,
Ovenbird,Seiurus aurocapilla,Confirmed,
Northern Waterthrush,Parkesia noveboracensis,Confirmed,
Louisiana Waterthrush,Parkesia motacilla,Hypothetical,
Connecticut Warbler,Oporornis agilis,Confirmed,
Mourning Warbler,Geothlypis philadelphia,Confirmed,
Common Yellowthroat,Geothlypis trichas,Confirmed,
Hooded Warbler,Setophaga citrina,Hypothetical,
Wilson’s Warbler,Cardellina pusilla,Confirmed,
Canada Warler,Cardellina canadensis,Confirmed,
Yellow-breasted Chat,Icteria virens,Confirmed,
Summer Piranga,Piranga rubra,Confirmed,
Scarlet Piranga,Piranga olivacea,Extirpated,"Bred 1950s, gone by 1990s"
Western Piranga,Piranga ludoviciana,Confirmed,
Northern Cardinal,Cardinalis cardinalis,Confirmed,Colonized in 1930s
Rose-breasted Grosbeak,Pheucticus ludovicianus,Extirpated,Formerly nested
Black-headed Grosbeak,Pheucticus melanocephalus,Confirmed,
Blue Grosbeak,Passerina caerulea,Confirmed,
Lazuli Bunting,Passerina amoena,Confirmed,
