SciName,Zimmer_1913,Ford_1957,Bray_1993,GBIF_2023
Nannopterum auritum,NA,NA,Confirmed,GBIF
Ardea alba,NA,NA,Confirmed,NA
Plegadis chihi,NA,NA,Confirmed,GBIF
Anser albifrons,NA,NA,Confirmed,GBIF
Anser caerulescens,NA,NA,Confirmed,NA
Branta bernicla,NA,NA,Hypothetical,NA
Branta canadensis,NA,NA,Confirmed,GBIF
Aix sponsa,NA,NA,Confirmed,GBIF
Mareca americana,NA,NA,Confirmed,GBIF
Aythya valisineria,NA,NA,Confirmed,GBIF
Bucephala albeola,NA,NA,Confirmed,GBIF
Mergus serrator,NA,NA,Confirmed,NA
Oxyura jamaicensis,NA,NA,Confirmed,GBIF
Haliaeetus leucocephalus,NA,NA,Confirmed,GBIF
Accipiter cooperii,NA,NA,Confirmed,GBIF
Accipiter atricapillus,NA,NA,Confirmed,NA
Buteo lineatus,NA,NA,Hypothetical,NA
Buteo platypterus,NA,NA,Confirmed,GBIF
Buteo jamaicensis,NA,NA,Confirmed,GBIF
Buteo lagopus,NA,NA,Confirmed,GBIF
Aquila chrysaetos,NA,NA,Confirmed,GBIF
Falco peregrinus,NA,NA,Confirmed,NA
Perdix perdix,NA,NA,Confirmed,NA
Phasianus colchicus,NA,NA,Confirmed,GBIF
Meleagris gallopavo,NA,NA,Confirmed,GBIF
Porzana carolina,NA,NA,Confirmed,GBIF
Grus americana,NA,NA,Confirmed,NA
Charadrius semipalmatus,NA,NA,Confirmed,NA
Recurvirostra americana,NA,NA,Confirmed,GBIF
Tringa flavipes,NA,NA,Confirmed,NA
Calidris mauri,NA,NA,Confirmed,NA
Calidris himantopus,NA,NA,Confirmed,NA
Limnodromus sp.,NA,NA,Confirmed,NA
Phalaropus tricolor,NA,NA,Confirmed,NA
Sternula antillarum,NA,NA,Confirmed,NA
Columba livia,NA,NA,Confirmed,NA
Tyto alba,NA,NA,Confirmed,GBIF
Bubo virginianus,NA,NA,Confirmed,GBIF
Asio otus,NA,NA,Confirmed,NA
Aegolius acadicus,NA,NA,Hypothetical,GBIF
Antrostomus carolinensis,NA,NA,Hypothetical,NA
Melanerpes lewis,NA,NA,Hypothetical,NA
Melanerpes carolinus,NA,NA,Confirmed,GBIF
Sphyrapicus varius,NA,NA,Confirmed,GBIF
Contopus cooperi,NA,NA,Confirmed,NA
Contopus virens,NA,NA,Confirmed,GBIF
Empidonax flaviventris,NA,NA,Confirmed,NA
Empidonax alnorum,NA,NA,Confirmed,GBIF
Empidonax minimus,NA,NA,Confirmed,GBIF
Sayornis phoebe,NA,NA,Confirmed,GBIF
Myiarchus crinitus,NA,NA,Confirmed,GBIF
Perisoreus canadensis,NA,NA,Hypothetical,NA
Nucifraga columbiana,NA,NA,Confirmed,NA
Corvus corax,NA,NA,Hypothetical,NA
Sitta canadensis,NA,NA,Confirmed,GBIF
Sitta carolinensis,NA,NA,Confirmed,GBIF
Certhia americana,NA,NA,Confirmed,GBIF
Troglodytes hiemalis,NA,NA,Confirmed,NA
Cistothorus stellaris,NA,NA,Confirmed,GBIF
Regulus satrapa,NA,NA,Confirmed,GBIF
Catharus minimus,NA,NA,Confirmed,NA
Catharus guttatus,NA,NA,Confirmed,GBIF
Anthus rubescens,NA,NA,Confirmed,GBIF
Anthus spragueii,NA,NA,Confirmed,NA
Bombycilla cedrorum,NA,NA,Confirmed,GBIF
Sturnus vulgaris,NA,NA,Confirmed,GBIF
Vireo solitarius,NA,NA,Confirmed,NA
Vireo flavifrons,NA,NA,Confirmed,GBIF
Vireo philadelphicus,NA,NA,Confirmed,GBIF
Vermivora cyanoptera,NA,NA,Confirmed,NA
Leiothlypis ruficapilla,NA,NA,Confirmed,GBIF
Setophaga pensylvanica,NA,NA,Confirmed,GBIF
Setophaga tigrina,NA,NA,Confirmed,NA
Setophaga townsendi,NA,NA,Confirmed,NA
Setophaga virens,NA,NA,Confirmed,NA
Setophaga fusca,NA,NA,Confirmed,NA
Setophaga pinus,NA,NA,Confirmed,NA
Setophaga palmarum,NA,NA,Confirmed,NA
Setophaga castanea,NA,NA,Confirmed,GBIF
Parkesia motacilla,NA,NA,Hypothetical,NA
Oporornis agilis,NA,NA,Confirmed,NA
Geothlypis philadelphia,NA,NA,Confirmed,GBIF
Setophaga citrina,NA,NA,Hypothetical,GBIF
Cardellina canadensis,NA,NA,Confirmed,NA
Piranga rubra,NA,NA,Confirmed,NA
Piranga ludoviciana,NA,NA,Confirmed,NA
Pheucticus ludovicianus,NA,NA,Extirpated,GBIF
Passerina cyanea,NA,NA,Confirmed,GBIF
Passerculus sandwichensis,NA,NA,Confirmed,GBIF
Centronyx henslowii,NA,NA,Hypothetical,NA
Ammospiza leconteii,NA,NA,Confirmed,NA
Passerella iliaca,NA,NA,Confirmed,NA
Melospiza georgiana,NA,NA,Confirmed,GBIF
Zonotrichia albicollis,NA,NA,Confirmed,GBIF
Zonotrichia atricapilla,NA,NA,Confirmed,NA
Junco hyemalis,NA,NA,Confirmed,GBIF
Junco mearnsi,NA,NA,Confirmed,GBIF
Calcarius lapponicus,NA,NA,Confirmed,GBIF
Dolichonyx oryzivorus,NA,NA,Confirmed,GBIF
Icterus bullockii,NA,NA,Confirmed,NA
Icterus bullockii x galbula,NA,NA,Confirmed,GBIF
Pinicola enucleator,NA,NA,Confirmed,NA
Haemorhous purpureus,NA,NA,Confirmed,GBIF
Haemorhous cassinii,NA,NA,Confirmed,NA
Haemorhous mexicanus,NA,NA,Confirmed,GBIF
Loxia curvirostra,NA,NA,Confirmed,GBIF
Loxia leucoptera,NA,NA,Confirmed,NA
Acanthis flammea,NA,NA,Confirmed,NA
Coccothraustes vespertinus,NA,NA,Confirmed,GBIF
Passer domesticus,NA,NA,Confirmed,GBIF
Branta hutchinsii,NA,NA,NA,GBIF
Cygnus buccinator,NA,NA,NA,GBIF
Aythya americana,NA,NA,NA,GBIF
Aythya collaris,NA,NA,NA,GBIF
Aythya marila,NA,NA,NA,GBIF
Bucephala clangula,NA,NA,NA,GBIF
Streptopelia decaocto,NA,NA,NA,GBIF
Antrostomus vociferus,NA,NA,NA,GBIF
Pluvialis dominica,NA,NA,NA,GBIF
Sitta pygmaea,NA,NA,NA,GBIF
Polioptila caerulea,NA,NA,NA,GBIF
Junco hyemalis/cismontanus,NA,NA,NA,GBIF
Junco cismontanus,NA,NA,NA,GBIF
Pipilo erythrophthalmus,NA,NA,NA,GBIF
Pipilo maculatus x erythrophthalmus,NA,NA,NA,GBIF
Quiscalus mexicanus,NA,NA,NA,GBIF
Setophaga coronata/auduboni,NA,NA,NA,GBIF
