SciName,Zimmer_1913,Ford_1957,Bray_1993,GBIF_2023
Empidonax minimus,NA,NA,Confirmed,GBIF
Sayornis phoebe,NA,NA,Confirmed,GBIF
Myiarchus crinitus,NA,NA,Confirmed,GBIF
Sitta canadensis,NA,NA,Confirmed,GBIF
Sitta carolinensis,NA,NA,Confirmed,GBIF
Certhia americana,NA,NA,Confirmed,GBIF
Cistothorus stellaris,NA,NA,Confirmed,GBIF
Regulus satrapa,NA,NA,Confirmed,GBIF
Catharus guttatus,NA,NA,Confirmed,GBIF
Anthus rubescens,NA,NA,Confirmed,GBIF
Bombycilla cedrorum,NA,NA,Confirmed,GBIF
Sturnus vulgaris,NA,NA,Confirmed,GBIF
Vireo flavifrons,NA,NA,Confirmed,GBIF
Vireo philadelphicus,NA,NA,Confirmed,GBIF
Leiothlypis ruficapilla,NA,NA,Confirmed,GBIF
Setophaga pensylvanica,NA,NA,Confirmed,GBIF
Setophaga castanea,NA,NA,Confirmed,GBIF
Geothlypis philadelphia,NA,NA,Confirmed,GBIF
Setophaga citrina,NA,NA,Hypothetical,GBIF
Pheucticus ludovicianus,NA,NA,Extirpated,GBIF
Passerina cyanea,NA,NA,Confirmed,GBIF
Passerculus sandwichensis,NA,NA,Confirmed,GBIF
Melospiza georgiana,NA,NA,Confirmed,GBIF
Zonotrichia albicollis,NA,NA,Confirmed,GBIF
Junco hyemalis,NA,NA,Confirmed,GBIF
Junco mearnsi,NA,NA,Confirmed,GBIF
Calcarius lapponicus,NA,NA,Confirmed,GBIF
Dolichonyx oryzivorus,NA,NA,Confirmed,GBIF
Haemorhous purpureus,NA,NA,Confirmed,GBIF
Haemorhous mexicanus,NA,NA,Confirmed,GBIF
Loxia curvirostra,NA,NA,Confirmed,GBIF
Coccothraustes vespertinus,NA,NA,Confirmed,GBIF
Passer domesticus,NA,NA,Confirmed,GBIF
Branta hutchinsii,NA,NA,NA,GBIF
Cygnus buccinator,NA,NA,NA,GBIF
Aythya valisineria,NA,NA,NA,GBIF
Aythya americana,NA,NA,NA,GBIF
Aythya collaris,NA,NA,NA,GBIF
Aythya marila,NA,NA,NA,GBIF
Bucephala clangula,NA,NA,NA,GBIF
Streptopelia decaocto,NA,NA,NA,GBIF
Antrostomus vociferus,NA,NA,NA,GBIF
Pluvialis dominica,NA,NA,NA,GBIF
Sitta pygmaea,NA,NA,NA,GBIF
Polioptila caerulea,NA,NA,NA,GBIF
Junco hyemalis/cismontanus,NA,NA,NA,GBIF
Junco cismontanus,NA,NA,NA,GBIF
Pipilo erythrophthalmus,NA,NA,NA,GBIF
Pipilo maculatus x erythrophthalmus,NA,NA,NA,GBIF
Icterus bullockii x galbula,NA,NA,NA,GBIF
Quiscalus mexicanus,NA,NA,NA,GBIF
Setophaga coronata/auduboni,NA,NA,NA,GBIF
