Species,English,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023
85,Sharp-shinned Hawk,Accipiter striatus,X,,X,X
86,Cooper's Hawk,Accipiter cooperii,,,X,X
87,American Goshawk,Accipiter atricapillus,,,X,
88,Northern Harrier,Circus hudsonius,X,,X,X
89,Bald Eagle,Haliaeetus leucocephalus,,,X,X
89.5,Red-shouldered Hawk,Buteo lineatus,,,Hypothetical,
90,Broad-winged Hawk,Buteo platypterus,,,X,X
91,Swainson's Hawk,Buteo swainsoni,X,,X,X
92,Red-tailed Hawk,Buteo jamaicensis,,,X,X
93,Ferruginous Hawk,Buteo regalis,X,,X,X
94,Rough-legged Buzzard,Buteo lagopus,,,X,X
95,Barn Owl,Tyto alba,,,X,X
96,Northern Saw-whet Owl,Aegolius acadicus,,,Hypothetical,X
97,Burrowing Owl,Athene cunicularia,X,,X,X
98,Long-eared Owl,Asio otus,,,X,
99,Short-eared Owl,Asio flammeus,X,,X,
100,Great Horned Owl,Bubo virginianus,,,X,X
101,Eastern Screech Owl,Megascops asio,X,,X,X
102,Belted Kingfisher,Megaceryle alcyon,X,,X,X
102.5,Lewis's Woodpecker,Melanerpes lewis,,,Hypothetical,
103,Red-headed Woodpecker,Melanerpes erythrocephalus,X,,X,X
104,Red-bellied Woodpecker,Melanerpes carolinus,,,X,X
105,Yellow-bellied Sapsucker,Sphyrapicus varius,,,X,X
106,Downy Woodpecker,Dryobates pubescens,X,,X,X
107,Hairy Woodpecker,Leuconotopicus villosus,X,,X,X
108,Northern Flicker,Colaptes auratus,X,,X,X
109,American Kestrel,Falco sparverius,X,,X,X
110,Merlin,Falco columbarius,X,,X,X
111,Prairie Falcon,Falco mexicanus,X,,X,X
112,Peregrine Falcon,Falco peregrinus,,,X,
113,Eastern Phoebe,Sayornis phoebe,,,X,X
114,Say's Phoebe,Sayornis saya,X,,X,X
115,Olive-sided Flycatcher,Contopus cooperi,,,X,
116,Western Wood Pewee,Contopus sordidulus,X,,X,X
117,Eastern Wood Pewee,Contopus virens,,,X,X
118,Yellow-bellied Flycatcher,Empidonax flaviventris,,,X,
