species,individualCount,decimalLongitude,decimalLatitude,eventDate,district
Aix sponsa,2,-103.0162239,42.7071641,2019-04-24,Pine Ridge / Oglala
Aix sponsa,2,-103.0162239,42.7071641,2019-05-19,Pine Ridge / Oglala
Aix sponsa,1,-103.5716912,42.6984793,2019-08-25,Pine Ridge / Oglala
Aix sponsa,15,-103.5455418,42.8627539,2019-08-24,Pine Ridge / Oglala
Aix sponsa,1,-101.12257,42.70672,2020-05-19,McKelvie
Aix sponsa,1,-101.129145,42.706155,2020-05-18,McKelvie
Aix sponsa,1,-101.020262,42.666866,2020-05-31,McKelvie
Aix sponsa,2,-103.0042076,42.7448691,2020-05-17,Pine Ridge / Oglala
Aix sponsa,1,-103.400084,42.803674,2020-05-15,Pine Ridge / Oglala
Aix sponsa,4,-103.0162239,42.7071641,2020-06-07,Pine Ridge / Oglala
Aix sponsa,8,-103.0162239,42.7071641,2020-06-21,Pine Ridge / Oglala
Aix sponsa,6,-103.0162239,42.7071641,2020-07-14,Pine Ridge / Oglala
Aix sponsa,1,-103.5716912,42.6984793,2020-07-26,Pine Ridge / Oglala
Aix sponsa,2,-103.0162239,42.7071641,2020-08-31,Pine Ridge / Oglala
Aix sponsa,5,-103.0162239,42.7071641,2020-08-29,Pine Ridge / Oglala
Aix sponsa,8,-103.0042076,42.7448691,2020-09-07,Pine Ridge / Oglala
Aix sponsa,4,-103.0162239,42.7071641,2020-09-07,Pine Ridge / Oglala
Aix sponsa,5,-103.0042076,42.7448691,2020-09-10,Pine Ridge / Oglala
Aix sponsa,1,-103.0162239,42.7071641,2020-10-14,Pine Ridge / Oglala
Aix sponsa,2,-100.2983522,41.8992266,2021-05-14,Bessey
Aix sponsa,10,-100.9413683,42.6512969,2021-06-06,McKelvie
Aix sponsa,2,-101.0669237,42.6868125,2021-06-06,McKelvie
Aix sponsa,3,-101.00064,42.665603,2021-06-02,McKelvie
Aix sponsa,7,-103.0162239,42.7071641,2021-06-24,Pine Ridge / Oglala
Aix sponsa,4,-103.0162239,42.7071641,2021-07-24,Pine Ridge / Oglala
Aix sponsa,8,-103.0162239,42.7071641,2021-07-06,Pine Ridge / Oglala
Aix sponsa,30,-100.9641782,42.6605283,2021-08-31,McKelvie
Aix sponsa,4,-103.0162239,42.7071641,2021-08-02,Pine Ridge / Oglala
Aix sponsa,7,-103.0042076,42.7448691,2021-09-18,Pine Ridge / Oglala
Aix sponsa,1,-103.0042076,42.7448691,2021-09-02,Pine Ridge / Oglala
Aix sponsa,12,-103.0162239,42.7071641,2022-05-24,Pine Ridge / Oglala
Aix sponsa,6,-103.0042076,42.7448691,2022-05-24,Pine Ridge / Oglala
Aix sponsa,2,-101.133042,42.701631,2022-06-08,McKelvie
Aix sponsa,1,-100.898879,42.644792,2022-06-07,McKelvie
Aix sponsa,9,-100.909318,42.6484946,2022-07-25,McKelvie
Aix sponsa,14,-101.124567,42.711328,2022-08-14,McKelvie
Aix sponsa,1,-103.0162239,42.7071641,2022-08-11,Pine Ridge / Oglala
Aix sponsa,2,-103.013556,42.715196,2023-04-13,Pine Ridge / Oglala
Aix sponsa,2,-101.1539039,42.6890767,2023-05-06,McKelvie
Aix sponsa,2,-101.123536,42.712002,2023-05-05,McKelvie
Aix sponsa,4,-103.0042076,42.7448691,2023-05-22,Pine Ridge / Oglala
Aix sponsa,1,-103.5716912,42.6984793,2023-05-22,Pine Ridge / Oglala
Spatula discors,1,-103.0162239,42.7071641,1984-05-18,Pine Ridge / Oglala
Spatula discors,X,-103.0042076,42.7448691,1985-06-08,Pine Ridge / Oglala
Spatula discors,X,-100.3807068,41.8572879,1986-04-28,Bessey
Spatula discors,X,-103.0162239,42.7071641,1988-05-27,Pine Ridge / Oglala
Spatula discors,X,-100.3807068,41.8572879,1990-09-08,Bessey
Spatula discors,X,-103.5751104,42.8977089,1995-09-06,Pine Ridge / Oglala
Spatula discors,6,-100.3807068,41.8572879,2000-03-30,Bessey
Spatula discors,X,-100.3223848,41.9053274,2006-09-24,Bessey
Spatula discors,X,-100.27,41.7925,2007-05-17,Bessey
Spatula discors,2,-100.2983522,41.8992266,2009-05-11,Bessey
Spatula discors,6,-100.3807068,41.8572879,2010-04-21,Bessey
Spatula discors,5,-100.3807068,41.8572879,2010-04-20,Bessey
Spatula discors,2,-103.617382,42.9989428,2010-05-16,Pine Ridge / Oglala
Spatula discors,1,-103.5111237,42.9227433,2010-05-14,Pine Ridge / Oglala
Spatula discors,3,-103.0162239,42.7071641,2010-09-07,Pine Ridge / Oglala
Spatula discors,4,-100.3807068,41.8572879,2011-03-30,Bessey
Spatula discors,2,-103.3995438,42.8031154,2011-04-20,Pine Ridge / Oglala
Spatula discors,1,-103.4984207,42.9109261,2011-04-20,Pine Ridge / Oglala
Spatula discors,6,-103.0042076,42.7448691,2011-04-19,Pine Ridge / Oglala
Spatula discors,1,-103.5923624,42.9594691,2011-04-20,Pine Ridge / Oglala
Spatula discors,2,-100.2983522,41.8992266,2011-04-02,Bessey
Spatula discors,20,-100.3807068,41.8572879,2011-04-29,Bessey
Spatula discors,6,-103.5111237,42.9227433,2011-05-16,Pine Ridge / Oglala
Spatula discors,40,-100.2983522,41.8992266,2012-04-06,Bessey
Spatula discors,45,-100.2983522,41.8992266,2012-04-08,Bessey
Spatula discors,6,-100.511384,41.9710414,2012-04-29,Bessey
Spatula discors,2,-100.511384,41.9710414,2012-04-08,Bessey
Spatula discors,9,-100.2983522,41.8992266,2012-04-29,Bessey
Spatula discors,12,-103.0042076,42.7448691,2013-05-25,Pine Ridge / Oglala
Spatula discors,6,-103.0042076,42.7448691,2013-10-10,Pine Ridge / Oglala
Spatula discors,6,-100.3807068,41.8572879,2014-04-11,Bessey
