,IOC,English name,Scientific Name
,371,,    C. p. leucoptera
,372,Kelp Goose,Chloephaga hybrida
,373,,    C. h. hybrida
,374,,    C. h. malvinarum
,375,Ashy-headed Goose,Chloephaga poliocephala
,376,Ruddy-headed Goose,Chloephaga rubidiceps
,377,,Radjah
,378,Radjah Shelduck,Radjah radjah
,379,,    R. r. radjah
,380,,    R. r. rufitergum
,381,,Tadorna
,382,Common Shelduck,Tadorna tadorna
,383,Ruddy Shelduck,Tadorna ferruginea
,384,South African Shelduck,Tadorna cana
,385,Australian Shelduck,Tadorna tadornoides
,386,Paradise Shelduck,Tadorna variegata
,387,Crested Shelduck,Tadorna cristata
,388,,Malacorhynchus
,389,Pink-eared Duck,Malacorhynchus membranaceus
,390,,Salvadorina
,391,Salvadori's Teal,Salvadorina waigiuensis
,392,,Cairina
,393,Muscovy Duck,Cairina moschata
,394,,Asarcornis
,395,White-winged Duck,Asarcornis scutulata
,396,,Pteronetta
,397,Hartlaub's Duck,Pteronetta hartlaubii
,398,,Aix
,399,Wood Duck,Aix sponsa
,400,Mandarin Duck,Aix galericulata
,401,,Chenonetta
,402,Maned Duck,Chenonetta jubata
,403,,Nettapus
,404,African Pygmy Goose,Nettapus auritus
,405,Cotton Pygmy Goose,Nettapus coromandelianus
,406,,    N. c. coromandelianus
,407,,    N. c. albipennis
,408,Green Pygmy Goose,Nettapus pulchellus
,409,,Amazonetta
,410,Brazilian Teal,Amazonetta brasiliensis
,411,,    A. b. brasiliensis
,412,,    A. b. ipecutiri
,413,,Callonetta
,414,Ringed Teal,Callonetta leucophrys
,415,,Lophonetta
,416,Crested Duck,Lophonetta specularioides
,417,,    L. s. alticola
,418,,    L. s. specularioides
,419,,Speculanas
,420,Bronze-winged Duck,Speculanas specularis
,421,,Sibirionetta
,422,Baikal Teal,Sibirionetta formosa
,423,,Spatula
,424,Garganey,Spatula querquedula
,425,Blue-billed Teal,Spatula hottentota
,426,Puna Teal,Spatula puna
,427,Silver Teal,Spatula versicolor
,428,,    S. v. versicolor
,429,,    S. v. fretensis
,430,Red Shoveler,Spatula platalea
,431,Cinnamon Teal,Spatula cyanoptera
,432,,    S. c. septentrionalium
,433,,    S. c. tropica
,434,,    S. c. borreroi
,435,,    S. c. orinoma
,436,,    S. c. cyanoptera
,437,Blue-winged Teal,Spatula discors
,438,Cape Shoveler,Spatula smithii
,439,Australasian Shoveler,Spatula rhynchotis
,440,Northern Shoveler,Spatula clypeata
,441,,Mareca
,442,Gadwall,Mareca strepera
,443,,    M. s. strepera
,444,,    M. s. couesi
,445,Falcated Duck,Mareca falcata
,446,Eurasian Wigeon,Mareca penelope
,447,Chiloe Wigeon,Mareca sibilatrix
,448,American Wigeon,Mareca americana
,449,Amsterdam Wigeon,Mareca marecula
,450,,Anas
,451,African Black Duck,Anas sparsa
,452,,    A. s. leucostigma
,453,,    A. s. sparsa
,454,Yellow-billed Duck,Anas undulata
,455,,    A. u. ruppelli
,456,,    A. u. undulata
,457,Meller's Duck,Anas melleri
,458,Pacific Black Duck,Anas superciliosa
,459,,    A. s. superciliosa
,460,,    A. s. pelewensis
,461,Laysan Duck,Anas laysanensis
,462,Hawaiian Duck,Anas wyvilliana
,463,Philippine Duck,Anas luzonica
,464,Indian Spot-billed Duck,Anas poecilorhyncha
,465,,    A. p. poecilorhyncha
,466,,    A. p. haringtoni
,467,Eastern Spot-billed Duck,Anas zonorhyncha
,468,Mallard,Anas platyrhynchos
,469,,    A. p. platyrhynchos
,470,,    A. p. conboschas
,471,Mottled Duck,Anas fulvigula
,472,,    A. f. fulvigula
,473,,    A. f. maculosa
,474,American Black Duck,Anas rubripes
,475,Mexican Duck,Anas diazi
,476,Cape Teal,Anas capensis
,477,White-cheeked Pintail,Anas bahamensis
,478,,    A. b. bahamensis
,479,,    A. b. rubrirostris
,480,,    A. b. galapagensis
,481,Red-billed Teal,Anas erythrorhyncha
,482,Yellow-billed Pintail,Anas georgica
,483,,    A. g. niceforoi
,484,,    A. g. spinicauda
,485,,    A. g. georgica
,486,Eaton's Pintail,Anas eatoni
,487,,    A. e. drygalskii
,488,,    A. e. eatoni
,489,Northern Pintail,Anas acuta
,490,Eurasian Teal,Anas crecca
,491,Green-winged Teal,Anas carolinensis
,492,Yellow-billed Teal,Anas flavirostris
,493,,    A. f. oxyptera
,494,,    A. f. flavirostris
,495,Andean Teal,Anas andium
,496,,    A. a. altipetens
,497,,    A. a. andium
,498,Sunda Teal,Anas gibberifrons
,499,Andaman Teal,Anas albogularis
,500,Mascarene Teal,Anas theodori
,501,Grey Teal,Anas gracilis
,502,,    A. g. gracilis
,503,,    A. g. remissa
,504,Chestnut Teal,Anas castanea
,505,Bernier's Teal,Anas bernieri
,506,Brown Teal,Anas chlorotis
,507,Auckland Teal,Anas aucklandica
,508,Campbell Teal,Anas nesiotis
,509,,Marmaronetta
,510,Marbled Duck,Marmaronetta angustirostris
,511,,Rhodonessa
,512,Pink-headed Duck,Rhodonessa caryophyllacea
,513,,Netta
,514,Red-crested Pochard,Netta rufina
,515,Rosy-billed Pochard,Netta peposaca
,516,Southern Pochard,Netta erythrophthalma
,517,,    N. e. brunnea
,518,,    N. e. erythrophthalma
,519,,Aythya
,520,Canvasback,Aythya valisineria
,521,Redhead,Aythya americana
,522,Common Pochard,Aythya ferina
,523,Hardhead,Aythya australis
,524,Madagascar Pochard,Aythya innotata
,525,Baer's Pochard,Aythya baeri
,526,Ferruginous Duck,Aythya nyroca
,527,New Zealand Scaup,Aythya novaeseelandiae
,528,Ring-necked Duck,Aythya collaris
,529,Tufted Duck,Aythya fuligula
,530,Greater Scaup,Aythya marila
,531,,    A. m. marila
,532,,    A. m. nearctica
,533,Lesser Scaup,Aythya affinis
,534,,Polysticta
,535,Steller's Eider,Polysticta stelleri
,536,,Camptorhynchus
,537,Labrador Duck,Camptorhynchus labradorius
,538,,Somateria
,539,Spectacled Eider,Somateria fischeri
,540,King Eider,Somateria spectabilis
,541,Common Eider,Somateria mollissima
,542,,    S. m. v-nigrum
,543,,    S. m. borealis
,544,,    S. m. sedentaria
,545,,    S. m. dresseri
,546,,    S. m. faeroeensis
,547,,    S. m. mollissima
,548,,Histrionicus
,549,Harlequin Duck,Histrionicus histrionicus
,550,,Melanitta
,551,Surf Scoter,Melanitta perspicillata
,552,Velvet Scoter,Melanitta fusca
,553,White-winged Scoter,Melanitta deglandi
,554,Stejneger's Scoter,Melanitta stejnegeri
,555,Common Scoter,Melanitta nigra
,556,Black Scoter,Melanitta americana
,557,,Clangula
,558,Long-tailed Duck,Clangula hyemalis
,559,,Bucephala
,560,Bufflehead,Bucephala albeola
,561,Common Goldeneye,Bucephala clangula
,562,,    B. c. clangula
,563,,    B. c. americana
,564,Barrow's Goldeneye,Bucephala islandica
,565,,Mergellus
,566,Smew,Mergellus albellus
,567,,Lophodytes
,568,Hooded Merganser,Lophodytes cucullatus
,569,,Mergus
,570,New Zealand Merganser,Mergus australis
,571,Brazilian Merganser,Mergus octosetaceus
,572,Common Merganser,Mergus merganser
,573,,    M. m. merganser
,574,,    M. m. orientalis
,575,,    M. m. americanus
,576,Red-breasted Merganser,Mergus serrator
,577,Scaly-sided Merganser,Mergus squamatus
,578,,Heteronetta
,579,Black-headed Duck,Heteronetta atricapilla
,580,,Nomonyx
,581,Masked Duck,Nomonyx dominicus
,582,,Oxyura
,583,Ruddy Duck,Oxyura jamaicensis
,584,Andean Duck,Oxyura ferruginea
,585,,    O. f. ferruginea
,586,,    O. f. andina
,587,Lake Duck,Oxyura vittata
,588,Blue-billed Duck,Oxyura australis
,589,Maccoa Duck,Oxyura maccoa
,590,White-headed Duck,Oxyura leucocephala
,591,,Biziura
,592,Musk Duck,Biziura lobata
,593,,    B. l. lobata
,594,,    B. l. menziesi
,595,,
,596,,ORDER GALLIFORMES
,597,Megapodes,Family Megapodiidae
,598,,Alectura
,599,Australian Brushturkey,Alectura lathami
,600,,    A. l. purpureicollis
,601,,    A. l. lathami
,602,,Aepypodius
,603,Wattled Brushturkey,Aepypodius arfakianus
,604,,    A. a. arfakianus
,605,,    A. a. misoliensis
,606,Waigeo Brushturkey,Aepypodius bruijnii
,607,,Talegalla
,608,Red-billed Brushturkey,Talegalla cuvieri
,609,Black-billed Brushturkey,Talegalla fuscirostris
,610,Collared Brushturkey,Talegalla jobiensis
,611,,    T. j. jobiensis
,612,,    T. j. longicaudus
,613,,Leipoa
,614,Malleefowl,Leipoa ocellata
,615,,Macrocephalon
,616,Maleo,Macrocephalon maleo
,617,,Eulipoa
,618,Moluccan Megapode,Eulipoa wallacei
,619,,Megapodius
,620,Tongan Megapode,Megapodius pritchardii
,621,Micronesian Megapode,Megapodius laperouse
,622,,    M. l. senex
,623,,    M. l. laperouse
,624,Nicobar Megapode,Megapodius nicobariensis
,625,,    M. n. nicobariensis
,626,,    M. n. abbotti
,627,Philippine Megapode,Megapodius cumingii
,628,,    M. c. cumingii
,629,,    M. c. dillwyni
,630,,    M. c. pusillus
,631,,    M. c. tabon
,632,,    M. c. gilbertii
,633,,    M. c. sanghirensis
,634,,    M. c. talautensis
,635,Sula Megapode,Megapodius bernsteinii
,636,Tanimbar Megapode,Megapodius tenimberensis
,637,Dusky Megapode,Megapodius freycinet
,638,,    M. f. quoyii
,639,,    M. f. freycinet
,640,,    M. f. oustaleti
,641,,    M. f. forsteni
,642,,    M. f. buruensis
,643,Biak Scrubfowl,Megapodius geelvinkianus
,644,Melanesian Megapode,Megapodius eremita
,645,Vanuatu Megapode,Megapodius layardi
,646,New Guinea Scrubfowl,Megapodius decollatus
,647,Orange-footed Scrubfowl,Megapodius reinwardt
,648,,    M. r. reinwardt
,649,,    M. r. macgillivrayi
,650,,    M. r. tumulus
,651,,    M. r. yorki
,652,,    M. r. castanonotus
,653,,
,654,"Chachalacas, Curassows, Guans",Family Cracidae
,655,,Ortalis
,656,Plain Chachalaca,Ortalis vetula
,657,,    O. v. mccalli
,658,,    O. v. vetula
,659,,    O. v. pallidiventris
,660,,    O. v. deschauenseei
,661,Grey-headed Chachalaca,Ortalis cinereiceps
,662,Chestnut-winged Chachalaca,Ortalis garrula
,663,Rufous-vented Chachalaca,Ortalis ruficauda
,664,,    O. r. ruficrissa
,665,,    O. r. ruficauda
,666,Rufous-headed Chachalaca,Ortalis erythroptera
,667,Rufous-bellied Chachalaca,Ortalis wagleri
,668,West Mexican Chachalaca,Ortalis poliocephala
,669,Chaco Chachalaca,Ortalis canicollis
,670,,    O. c. canicollis
,671,,    O. c. pantanalensis
,672,White-bellied Chachalaca,Ortalis leucogastra
,673,Speckled Chachalaca,Ortalis guttata
,674,,    O. g. guttata
,675,,    O. g. subaffinis
,676,,    O. g. remota
,677,East Brazilian Chachalaca,Ortalis araucuan
,678,Scaled Chachalaca,Ortalis squamata
,679,Colombian Chachalaca,Ortalis columbiana
,680,Little Chachalaca,Ortalis motmot
,681,Chestnut-headed Chachalaca,Ortalis ruficeps
,682,Buff-browed Chachalaca,Ortalis superciliaris
,683,,Penelope
,684,Band-tailed Guan,Penelope argyrotis
,685,,    P. a. colombiana
,686,,    P. a. albicauda
,687,,    P. a. argyrotis
,688,Bearded Guan,Penelope barbata
,689,Baudo Guan,Penelope ortoni
,690,Andean Guan,Penelope montagnii
,691,,    P. m. montagnii
,692,,    P. m. atrogularis
,693,,    P. m. brooki
,694,,    P. m. plumosa
,695,,    P. m. sclateri
,696,Marail Guan,Penelope marail
,697,,    P. m. jacupeba
,698,,    P. m. marail
,699,Rusty-margined Guan,Penelope superciliaris
,700,,    P. s. pseudonyma
,701,,    P. s. superciliaris
,702,,    P. s. jacupemba
,703,,    P. s. major
,704,Red-faced Guan,Penelope dabbenei
,705,Crested Guan,Penelope purpurascens
,706,,    P. p. purpurascens
,707,,    P. p. aequatorialis
,708,,    P. p. brunnescens
,709,Cauca Guan,Penelope perspicax
,710,White-winged Guan,Penelope albipennis
,711,Spix's Guan,Penelope jacquacu
,712,,    P. j. granti
,713,,    P. j. orienticola
,714,,    P. j. jacquacu
,715,,    P. j. speciosa
,716,Dusky-legged Guan,Penelope obscura
,717,,    P. o. bronzina
,718,,    P. o. obscura
,719,Yungas Guan,Penelope bridgesi
,720,White-crested Guan,Penelope pileata
,721,Chestnut-bellied Guan,Penelope ochrogaster
,722,White-browed Guan,Penelope jacucaca
,723,,Pipile
,724,Trinidad Piping Guan,Pipile pipile
,725,Blue-throated Piping Guan,Pipile cumanensis
,726,White-throated Piping Guan,Pipile grayi
,727,Red-throated Piping Guan,Pipile cujubi
,728,,    P. c. cujubi
,729,,    P. c. nattereri
,730,Black-fronted Piping Guan,Pipile jacutinga
,731,,Aburria
,732,Wattled Guan,Aburria aburri
,733,,Chamaepetes
,734,Black Guan,Chamaepetes unicolor
,735,Sickle-winged Guan,Chamaepetes goudotii
,736,,    C. g. goudotii
,737,,    C. g. sanctaemarthae
,738,,    C. g. fagani
,739,,    C. g. tschudii
,740,,    C. g. rufiventris
,741,,Penelopina
,742,Highland Guan,Penelopina nigra
,743,,Oreophasis
,744,Horned Guan,Oreophasis derbianus
,745,,Nothocrax
,746,Nocturnal Curassow,Nothocrax urumutum
,747,,Mitu
,748,Crestless Curassow,Mitu tomentosum
,749,Salvin's Curassow,Mitu salvini
,750,Razor-billed Curassow,Mitu tuberosum
,751,Alagoas Curassow,Mitu mitu
,752,,Pauxi
,753,Helmeted Curassow,Pauxi pauxi
,754,,    P. p. pauxi
,755,,    P. p. gilliardi
,756,Horned Curassow,Pauxi unicornis
,757,Sira Curassow,Pauxi koepckeae
,758,,Crax
,759,Great Curassow,Crax rubra
,760,,    C. r. rubra
,761,,    C. r. griscomi
,762,Blue-billed Curassow,Crax alberti
,763,Yellow-knobbed Curassow,Crax daubentoni
,764,Black Curassow,Crax alector
,765,,    C. a. alector
,766,,    C. a. erythrognatha
,767,Wattled Curassow,Crax globulosa
,768,Bare-faced Curassow,Crax fasciolata
,769,,    C. f. fasciolata
,770,,    C. f. pinima
,771,,    C. f. grayi
,772,Red-billed Curassow,Crax blumenbachii
,773,,
,774,Guineafowl,Family Numididae
,775,,Agelastes
,776,White-breasted Guineafowl,Agelastes meleagrides
,777,Black Guineafowl,Agelastes niger
,778,,Numida
,779,Helmeted Guineafowl,Numida meleagris
,780,,    N. m. sabyi
,781,,    N. m. galeatus
,782,,    N. m. meleagris
,783,,    N. m. somaliensis
,784,,    N. m. reichenowi
,785,,    N. m. mitratus
,786,,    N. m. marungensis
,787,,    N. m. papillosus
,788,,    N. m. coronatus
,789,,Guttera
,790,Plumed Guineafowl,Guttera plumifera
,791,,    G. p. plumifera
,792,,    G. p. schubotzi
,793,Western Crested Guineafowl,Guttera verreauxi
,794,,    G. v. verreauxi
,795,,    G. v. sclateri
,796,Eastern Crested Guineafowl,Guttera pucherani
,797,Southern Crested Guineafowl,Guttera edouardi
,798,,    G. e. barbata
,799,,    G. e. edouardi
,800,,Acryllium
,801,Vulturine Guineafowl,Acryllium vulturinum
,802,,
,803,New World Quail,Family Odontophoridae
,804,,Ptilopachus
,805,Stone Partridge,Ptilopachus petrosus
,806,,    P. p. petrosus
,807,,    P. p. brehmi
,808,,    P. p. major
,809,,    P. p. florentiae
,810,Nahan's Partridge,Ptilopachus nahani
,811,,Dendrortyx
,812,Buffy-crowned Wood Partridge,Dendrortyx leucophrys
,813,,    D. l. leucophrys
,814,,    D. l. hypospodius
,815,Long-tailed Wood Partridge,Dendrortyx macroura
