,IOC,English name,Scientific Name
,13189,,Philydor
,13190,Slaty-winged Foliage-gleaner,Philydor fuscipenne
,13191,,    P. f. fuscipenne
,13192,,    P. f. erythronotum
,13193,Rufous-rumped Foliage-gleaner,Philydor erythrocercum
,13194,,    P. e. subfulvum
,13195,,    P. e. ochrogaster
,13196,,    P. e. lyra
,13197,,    P. e. suboles
,13198,,    P. e. erythrocercum
,13199,Alagoas Foliage-gleaner,Philydor novaesi
,13200,Black-capped Foliage-gleaner,Philydor atricapillus
,13201,Cinnamon-rumped Foliage-gleaner,Philydor pyrrhodes
,13202,,Anabacerthia
,13203,Montane Foliage-gleaner,Anabacerthia striaticollis
,13204,,    A. s. anxia
,13205,,    A. s. perijana
,13206,,    A. s. venezuelana
,13207,,    A. s. striaticollis
,13208,,    A. s. montana
,13209,,    A. s. yungae
,13210,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
,13211,,    A. v. schaldachi
,13212,,    A. v. variegaticeps
,13213,,    A. v. temporalis
,13214,Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata
,13215,,    A. r. ruficaudata
,13216,,    A. r. subflavescens
,13217,,    A. r. flavipectus
,13218,White-browed Foliage-gleaner,Anabacerthia amaurotis
,13219,Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini
,13220,,Syndactyla
,13221,Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata
,13222,,    S. r. cabanisi
,13223,,    S. r. oleaginea
,13224,,    S. r. rufosuperciliata
,13225,,    S. r. acrita
,13226,Planalto Foliage-gleaner,Syndactyla dimidiata
,13227,Tepui Foliage-gleaner,Syndactyla roraimae
,13228,,    S. r. paraquensis
,13229,,    S. r. duidae
,13230,,    S. r. roraimae
,13231,,    S. r. urutani
,13232,Lineated Foliage-gleaner,Syndactyla subalaris
,13233,,    S. s. lineata
,13234,,    S. s. tacarcunae
,13235,,    S. s. subalaris
,13236,,    S. s. striolata
,13237,,    S. s. olivacea
,13238,,    S. s. mentalis
,13239,Rufous-necked Foliage-gleaner,Syndactyla ruficollis
,13240,Guttulate Foliage-gleaner,Syndactyla guttulata
,13241,,    S. g. guttulata
,13242,,    S. g. pallida
,13243,Peruvian Recurvebill,Syndactyla ucayalae
,13244,Bolivian Recurvebill,Syndactyla striata
,13245,,Ancistrops
,13246,Chestnut-winged Hookbill,Ancistrops strigilatus
,13247,,Dendroma
,13248,Buff-fronted Foliage-gleaner,Dendroma rufa
,13249,,    D. r. panerythra
,13250,,    D. r. riveti
,13251,,    D. r. columbiana
,13252,,    D. r. cuchiverus
,13253,,    D. r. boliviana
,13254,,    D. r. chapadensis
,13255,,    D. r. rufa
,13256,Chestnut-winged Foliage-gleaner,Dendroma erythroptera
,13257,,    D. e. erythroptera
,13258,,    D. e. diluvialis
,13259,,Clibanornis
,13260,Canebrake Groundcreeper,Clibanornis dendrocolaptoides
,13261,Henna-capped Foliage-gleaner,Clibanornis rectirostris
,13262,Henna-hooded Foliage-gleaner,Clibanornis erythrocephalus
,13263,,    C. e. erythrocephalus
,13264,,    C. e. palamblae
,13265,Ruddy Foliage-gleaner,Clibanornis rubiginosus
,13266,,    C. r. guerrerensis
,13267,,    C. r. rubiginosus
,13268,,    C. r. veraepacis
,13269,,    C. r. fumosus
,13270,,    C. r. saturatus
,13271,,    C. r. sasaimae
,13272,,    C. r. nigricauda
,13273,,    C. r. venezuelanus
,13274,,    C. r. cinnamomeigula
,13275,,    C. r. caquetae
,13276,,    C. r. brunnescens
,13277,,    C. r. watkinsi
,13278,,    C. r. obscurus
,13279,Santa Marta Foliage-gleaner,Clibanornis rufipectus
,13280,,Thripadectes
,13281,Uniform Treehunter,Thripadectes ignobilis
,13282,Flammulated Treehunter,Thripadectes flammulatus
,13283,,    T. f. bricenoi
,13284,,    T. f. flammulatus
,13285,Peruvian Treehunter,Thripadectes scrutator
,13286,Streak-breasted Treehunter,Thripadectes rufobrunneus
,13287,Black-billed Treehunter,Thripadectes melanorhynchus
,13288,,    T. m. striaticeps
,13289,,    T. m. melanorhynchus
,13290,Striped Treehunter,Thripadectes holostictus
,13291,,    T. h. striatidorsus
,13292,,    T. h. holostictus
,13293,,    T. h. moderatus
,13294,Streak-capped Treehunter,Thripadectes virgaticeps
,13295,,    T. v. klagesi
,13296,,    T. v. tachirensis
,13297,,    T. v. magdalenae
,13298,,    T. v. sclateri
,13299,,    T. v. virgaticeps
,13300,,    T. v. sumaco
,13301,,Automolus
,13302,Chestnut-crowned Foliage-gleaner,Automolus rufipileatus
,13303,,    A. r. consobrinus
,13304,,    A. r. rufipileatus
,13305,Brown-rumped Foliage-gleaner,Automolus melanopezus
,,Fawn-throated Foliage-gleaner,Automolus cervinigularis
,13307,,    A. c. cervinigularis
,13308,,    A. c. hypophaeus
,13306,Ochre-throated Foliage-gleaner,Automolus ochrolaemus
,13309,,    A. o. pallidigularis
,13310,,    A. o. turdinus
,13311,,    A. o. ochrolaemus
,13312,,    A. o. auricularis
,13313,Chiriqui Foliage-gleaner,Automolus exsertus
,13314,Eastern Woodhaunter,Automolus subulatus
,13315,,    A. s. lemae
,13316,,    A. s. subulatus
,13317,Western Woodhaunter,Automolus virgatus
,13318,,    A. v. nicaraguae
,13319,,    A. v. virgatus
,13320,,    A. v. assimilis
,13321,,    A. v. cordobae
,13322,Olive-backed Foliage-gleaner,Automolus infuscatus
,13323,,    A. i. infuscatus
,13324,,    A. i. badius
,13325,,    A. i. cervicalis
,13326,,    A. i. purusianus
,13327,Para Foliage-gleaner,Automolus paraensis
,13328,Pernambuco Foliage-gleaner,Automolus lammi
,13329,White-eyed Foliage-gleaner,Automolus leucophthalmus
,13330,,    A. l. leucophthalmus
,13331,,    A. l. sulphurascens
,13332,,Premnoplex
,13333,Spotted Barbtail,Premnoplex brunnescens
,13334,,    P. b. brunneicauda
,13335,,    P. b. albescens
,13336,,    P. b. coloratus
,13337,,    P. b. rostratus
,13338,,    P. b. brunnescens
,13339,,    P. b. stictonotus
,13340,White-throated Barbtail,Premnoplex tatei
,13341,,    P. t. tatei
,13342,,    P. t. pariae
,13343,,Margarornis
,13344,Beautiful Treerunner,Margarornis bellulus
,13345,Ruddy Treerunner,Margarornis rubiginosus
,13346,,    M. r. rubiginosus
,13347,,    M. r. boultoni
,13348,Star-chested Treerunner,Margarornis stellatus
,13349,Pearled Treerunner,Margarornis squamiger
,13350,,    M. s. perlatus
,13351,,    M. s. peruvianus
,13352,,    M. s. squamiger
,13353,,Aphrastura
,13354,Thorn-tailed Rayadito,Aphrastura spinicauda
,13355,,    A. s. spinicauda
,13356,,    A. s. bullocki
,13357,,    A. s. fulva
,13358,,    A. s. subantarctica
,13359,Masafuera Rayadito,Aphrastura masafuerae
,13360,,Sylviorthorhynchus
,13361,Des Murs's Wiretail,Sylviorthorhynchus desmurii
,13362,Tawny Tit-Spinetail,Sylviorthorhynchus yanacensis
,13363,,Leptasthenura
,13364,Brown-capped Tit-Spinetail,Leptasthenura fuliginiceps
,13365,,    L. f. fuliginiceps
,13366,,    L. f. paranensis
,13367,Tufted Tit-Spinetail,Leptasthenura platensis
,13368,Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides
,13369,,    L. a. grisescens
,13370,,    L. a. berlepschi
,13371,,    L. a. aegithaloides
,13372,,    L. a. pallida
,13373,Striolated Tit-Spinetail,Leptasthenura striolata
,13374,Rusty-crowned Tit-Spinetail,Leptasthenura pileata
,13375,,    L. p. cajabambae
,13376,,    L. p. pileata
,13377,,    L. p. latistriata
,13378,White-browed Tit-Spinetail,Leptasthenura xenothorax
,13379,Streak-backed Tit-Spinetail,Leptasthenura striata
,13380,,    L. s. superciliaris
,13381,,    L. s. albigularis
,13382,,    L. s. striata
,13383,Andean Tit-Spinetail,Leptasthenura andicola
,13384,,    L. a. certhia
,13385,,    L. a. extima
,13386,,    L. a. exterior
,13387,,    L. a. andicola
,13388,,    L. a. peruviana
,13389,Araucaria Tit-Spinetail,Leptasthenura setaria
,13390,,Phacellodomus
,13391,Rufous-fronted Thornbird,Phacellodomus rufifrons
,13392,,    P. r. peruvianus
,13393,,    P. r. specularis
,13394,,    P. r. rufifrons
,13395,,    P. r. sincipitalis
,13396,Plain Thornbird,Phacellodomus inornatus
,13397,,    P. i. inornatus
,13398,,    P. i. castilloi
,13399,Streak-fronted Thornbird,Phacellodomus striaticeps
,13400,,    P. s. griseipectus
,13401,,    P. s. striaticeps
,13402,Little Thornbird,Phacellodomus sibilatrix
,13403,Chestnut-backed Thornbird,Phacellodomus dorsalis
,13404,Spot-breasted Thornbird,Phacellodomus maculipectus
,13405,Freckle-breasted Thornbird,Phacellodomus striaticollis
,13406,Greater Thornbird,Phacellodomus ruber
,13407,Orange-eyed Thornbird,Phacellodomus erythrophthalmus
,13408,Orange-breasted Thornbird,Phacellodomus ferrugineigula
,13409,,Hellmayrea
,13410,White-browed Spinetail,Hellmayrea gularis
,13411,,    H. g. gularis
,13412,,    H. g. brunneidorsalis
,13413,,    H. g. cinereiventris
,13414,,    H. g. rufiventris
,13415,,Anumbius
,13416,Firewood-gatherer,Anumbius annumbi
,13417,,Coryphistera
,13418,Lark-like Brushrunner,Coryphistera alaudina
,13419,,    C. a. campicola
,13420,,    C. a. alaudina
,13421,,Asthenes
,13422,Rusty-vented Canastero,Asthenes dorbignyi
,13423,,    A. d. consobrina
,13424,,    A. d. dorbignyi
,13425,Dark-winged Canastero,Asthenes arequipae
,13426,Pale-tailed Canastero,Asthenes huancavelicae
,13427,,    A. h. usheri
,13428,,    A. h. huancavelicae
,13429,Berlepsch's Canastero,Asthenes berlepschi
,13430,Short-billed Canastero,Asthenes baeri
,13431,,    A. b. chacoensis
,13432,,    A. b. baeri
,13433,,    A. b. neiffi
,13434,Cipo Canastero,Asthenes luizae
,13435,Hudson's Canastero,Asthenes hudsoni
,13436,Austral Canastero,Asthenes anthoides
,13437,Line-fronted Canastero,Asthenes urubambensis
,13438,,    A. u. huallagae
,13439,,    A. u. urubambensis
,13440,Many-striped Canastero,Asthenes flammulata
,13441,,    A. f. multostriata
,13442,,    A. f. quindiana
,13443,,    A. f. flammulata
,13444,,    A. f. pallida
,13445,,    A. f. taczanowskii
,13446,Junin Canastero,Asthenes virgata
,13447,Scribble-tailed Canastero,Asthenes maculicauda
,13448,Streak-backed Canastero,Asthenes wyatti
,13449,,    A. w. wyatti
,13450,,    A. w. sanctaemartae
,13451,,    A. w. phelpsi
,13452,,    A. w. mucuchiesi
,13453,,    A. w. aequatorialis
,13454,,    A. w. azuay
,13455,,    A. w. graminicola
,13457,,    A. w. punensis
,13458,,    A. w. cuchacanchae
,13459,,    A. w. lilloi
,13460,,    A. w. sclateri
,13461,,    A. w. brunnescens
,13462,Streak-throated Canastero,Asthenes humilis
,13463,,    A. h. cajamarcae
,13464,,    A. h. humilis
,13465,,    A. h. robusta
,13466,Cordilleran Canastero,Asthenes modesta
,13467,,    A. m. proxima
,13468,,    A. m. modesta
,13469,,    A. m. hilereti
,13470,,    A. m. rostrata
,13471,,    A. m. serrana
,13472,,    A. m. cordobae
,13473,,    A. m. australis
,13474,Itatiaia Spinetail,Asthenes moreirae
,13475,Sharp-billed Canastero,Asthenes pyrrholeuca
,13476,,    A. p. pyrrholeuca
,13477,,    A. p. sordida
,13478,Black-throated Thistletail,Asthenes harterti
,13479,,    A. h. harterti
,13480,,    A. h. bejaranoi
,13481,Puna Thistletail,Asthenes helleri
,13482,Vilcabamba Thistletail,Asthenes vilcabambae
,13483,Ayacucho Thistletail,Asthenes ayacuchensis
,13484,Canyon Canastero,Asthenes pudibunda
,13485,,    A. p. neglecta
,13486,,    A. p. pudibunda
,13487,,    A. p. grisior
,13488,Rusty-fronted Canastero,Asthenes ottonis
,13489,Maquis Canastero,Asthenes heterura
,13490,Eye-ringed Thistletail,Asthenes palpebralis
,13491,Ochre-browed Thistletail,Asthenes coryi
,13492,Perija Thistletail,Asthenes perijana
,13493,White-chinned Thistletail,Asthenes fuliginosa
,13494,,    A. f. fuliginosa
,13495,,    A. f. fumigata
,13496,,    A. f. peruviana
,13497,,    A. f. plengei
,13498,Mouse-colored Thistletail,Asthenes griseomurina
,13499,,Acrobatornis
,13500,Pink-legged Graveteiro,Acrobatornis fonsecai
,13501,,Metopothrix
,13502,Orange-fronted Plushcrown,Metopothrix aurantiaca
,13503,,Xenerpestes
,13504,Double-banded Greytail,Xenerpestes minlosi
,13505,,    X. m. minlosi
,13506,,    X. m. umbraticus
,13507,Equatorial Greytail,Xenerpestes singularis
,13508,,Siptornis
,13509,Spectacled Prickletail,Siptornis striaticollis
,13510,,    S. s. striaticollis
,13511,,    S. s. nortoni
,13512,,Roraimia
,13513,Roraiman Barbtail,Roraimia adusta
,13514,,    R. a. obscurodorsalis
,13515,,    R. a. mayri
,13516,,    R. a. duidae
,13517,,    R. a. adusta
,13518,,Thripophaga
,13576,Speckled Spinetail,Thripophaga gutturata
,13519,Striated Softtail,Thripophaga macroura
,13520,Orinoco Softtail,Thripophaga cherriei
,13521,Delta Amacuro Softtail,Thripophaga amacurensis
,13522,Plain Softtail,Thripophaga fusciceps
,13523,,    T. f. dimorpha
,13524,,    T. f. obidensis
,13525,,    T. f. fusciceps
,13527,,Limnoctites
,13528,Straight-billed Reedhaunter,Limnoctites rectirostris
,13529,Sulphur-bearded Reedhaunter,Limnoctites sulphuriferus
,13530,,Cranioleuca
,13526,Russet-mantled Softtail,Cranioleuca berlepschi
,13532,Vilcabamba Spinetail,Cranioleuca weskei
,13531,Marcapata Spinetail,Cranioleuca marcapatae
,13534,Light-crowned Spinetail,Cranioleuca albiceps
,13535,,    C. a. albiceps
,13536,,    C. a. discolor
,13537,Rusty-backed Spinetail,Cranioleuca vulpina
,13538,,    C. v. apurensis
,13539,,    C. v. vulpina
,13540,,    C. v. foxi
,13541,,    C. v. reiseri
,13542,Coiba Spinetail,Cranioleuca dissita
,13543,Parker's Spinetail,Cranioleuca vulpecula
,13544,Crested Spinetail,Cranioleuca subcristata
,13545,,    C. s. subcristata
,13546,,    C. s. fuscivertex
,13547,Stripe-crowned Spinetail,Cranioleuca pyrrhophia
,13548,,    C. p. rufipennis
,13549,,    C. p. striaticeps
,13550,,    C. p. pyrrhophia
,13551,Bolivian Spinetail,Cranioleuca henricae
,13552,Olive Spinetail,Cranioleuca obsoleta
,13553,Pallid Spinetail,Cranioleuca pallida
,13554,Grey-headed Spinetail,Cranioleuca semicinerea
,13555,Creamy-crested Spinetail,Cranioleuca albicapilla
,13556,,    C. a. albicapilla
,13557,,    C. a. albigula
,13558,Red-faced Spinetail,Cranioleuca erythrops
,13559,,    C. e. rufigenis
,13560,,    C. e. griseigularis
,13561,,    C. e. erythrops
,13562,Tepui Spinetail,Cranioleuca demissa
,13563,,    C. d. cardonai
,13564,,    C. d. demissa
,13565,Streak-capped Spinetail,Cranioleuca hellmayri
,13566,Ash-browed Spinetail,Cranioleuca curtata
,13567,,    C. c. curtata
,13568,,    C. c. cisandina
,13569,,    C. c. debilis
,13570,Line-cheeked Spinetail,Cranioleuca antisiensis
,13571,,    C. a. antisiensis
,13572,,    C. a. palamblae
,13573,,    C. a. baroni
,13574,,    C. a. capitalis
,13575,,    C. a. zaratensis
,13577,Scaled Spinetail,Cranioleuca muelleri
,13578,,Pseudasthenes
,13579,Dusky-tailed Canastero,Pseudasthenes humicola
,13580,,    P. h. goodalli
,13581,,    P. h. humicola
,13582,,    P. h. polysticta
,13583,Patagonian Canastero,Pseudasthenes patagonica
,13584,Steinbach's Canastero,Pseudasthenes steinbachi
,13585,Cactus Canastero,Pseudasthenes cactorum
,13586,,Spartonoica
,13587,Bay-capped Wren-Spinetail,Spartonoica maluroides
,13588,,Pseudoseisura
,13589,Caatinga Cacholote,Pseudoseisura cristata
,13590,Grey-crested Cacholote,Pseudoseisura unirufa
,13591,Brown Cacholote,Pseudoseisura lophotes
,13592,,    P. l. lophotes
,13593,,    P. l. argentina
,13594,White-throated Cacholote,Pseudoseisura gutturalis
,13595,,    P. g. ochroleuca
,13596,,    P. g. gutturalis
,13597,,Certhiaxis
,13598,Yellow-chinned Spinetail,Certhiaxis cinnamomeus
,13599,,    C. c. fuscifrons
,13600,,    C. c. marabinus
,13601,,    C. c. valencianus
,13602,,    C. c. orenocensis
,13603,,    C. c. cinnamomeus
,13604,,    C. c. pallidus
,13605,,    C. c. cearensis
,13606,,    C. c. russeolus
,13607,Red-and-white Spinetail,Certhiaxis mustelinus
,13608,,Mazaria
,13609,White-bellied Spinetail,Mazaria propinqua
,13610,,Schoeniophylax
,13611,Chotoy Spinetail,Schoeniophylax phryganophilus
,13612,,    S. p. phryganophilus
,13613,,    S. p. petersi
,13614,,Synallaxis
,13615,Ochre-cheeked Spinetail,Synallaxis scutata
,13616,,    S. s. scutata
,13617,,    S. s. whitii
,13618,Grey-bellied Spinetail,Synallaxis cinerascens
,13619,Plain-crowned Spinetail,Synallaxis gujanensis
,13620,,    S. g. columbiana
,13621,,    S. g. gujanensis
,13622,,    S. g. huallagae
,13623,,    S. g. canipileus
,13624,,    S. g. inornata
,13625,,    S. g. certhiola
,13627,Araguaia Spinetail,Synallaxis simoni
,13626,White-lored Spinetail,Synallaxis albilora
,13629,Maranon Spinetail,Synallaxis maranonica
,13630,Great Spinetail,Synallaxis hypochondriaca
,13631,Chinchipe Spinetail,Synallaxis chinchipensis
,13632,Necklaced Spinetail,Synallaxis stictothorax
,13633,,    S. s. stictothorax
,13634,,    S. s. maculata
,13635,Russet-bellied Spinetail,Synallaxis zimmeri
,13636,Slaty Spinetail,Synallaxis brachyura
,13637,,    S. b. nigrifumosa
,13638,,    S. b. griseonucha
,13639,,    S. b. brachyura
,13640,,    S. b. caucae
,13641,Silvery-throated Spinetail,Synallaxis subpudica
,13642,Red-shouldered Spinetail,Synallaxis hellmayri
,13643,Rufous-capped Spinetail,Synallaxis ruficapilla
,13644,Bahia Spinetail,Synallaxis cinerea
,13645,Pinto's Spinetail,Synallaxis infuscata
,13646,Dusky Spinetail,Synallaxis moesta
,13647,,    S. m. brunneicaudalis
,13648,,    S. m. moesta
,13649,,    S. m. obscura
,13650,McConnell's Spinetail,Synallaxis macconnelli
,13651,,    S. m. macconnelli
,13652,,    S. m. obscurior
,13653,Cabanis's Spinetail,Synallaxis cabanisi
,13654,,    S. c. cabanisi
,13655,,    S. c. fulviventris
,13656,Cinereous-breasted Spinetail,Synallaxis hypospodia
,13657,Spix's Spinetail,Synallaxis spixi
,13658,Dark-breasted Spinetail,Synallaxis albigularis
,13659,,    S. a. rodolphei
,13660,,    S. a. albigularis
,13661,Rio Orinoco Spinetail,Synallaxis beverlyae
,13662,Pale-breasted Spinetail,Synallaxis albescens
,13663,,    S. a. latitabunda
,13664,,    S. a. insignis
,13665,,    S. a. occipitalis
,13666,,    S. a. littoralis
,13667,,    S. a. perpallida
,13668,,    S. a. nesiotis
,13669,,    S. a. trinitatis
,13670,,    S. a. josephinae
,13671,,    S. a. inaequalis
,13672,,    S. a. albescens
,13673,,    S. a. australis
,13674,Sooty-fronted Spinetail,Synallaxis frontalis
,13675,Azara's Spinetail,Synallaxis azarae
,13676,,    S. a. elegantior
,13677,,    S. a. media
,13678,,    S. a. ochracea
,13679,,    S. a. fruticicola
,13680,,    S. a. infumata
,13681,,    S. a. urubambae
,13682,,    S. a. azarae
,13683,,    S. a. samaipatae
,13684,,    S. a. superciliosa
,13685,Apurimac Spinetail,Synallaxis courseni
,13686,White-whiskered Spinetail,Synallaxis candei
,13687,,    S. c. candei
,13688,,    S. c. atrigularis
,13689,,    S. c. venezuelensis
,13690,Rufous-breasted Spinetail,Synallaxis erythrothorax
,13691,,    S. e. erythrothorax
,13692,,    S. e. pacifica
,13693,Hoary-throated Spinetail,Synallaxis kollari
,13694,Blackish-headed Spinetail,Synallaxis tithys
,13695,Rusty-headed Spinetail,Synallaxis fuscorufa
,13696,Rufous Spinetail,Synallaxis unirufa
,13697,,    S. u. munoztebari
,13698,,    S. u. meridana
,13699,,    S. u. unirufa
,13700,,    S. u. ochrogaster
,13701,Black-throated Spinetail,Synallaxis castanea
,13702,Stripe-breasted Spinetail,Synallaxis cinnamomea
,13703,,    S. c. carri
,13704,,    S. c. terrestris
,13705,,    S. c. cinnamomea
,13706,,    S. c. aveledoi
,13707,,    S. c. bolivari
,13708,,    S. c. striatipectus
,13709,,    S. c. pariae
,13710,Ruddy Spinetail,Synallaxis rutilans
,13711,,    S. r. caquetensis
,13712,,    S. r. confinis
,13713,,    S. r. dissors
,13714,,    S. r. amazonica
,13715,,    S. r. rutilans
,13716,,    S. r. omissa
,13717,,    S. r. tertia
,13718,Chestnut-throated Spinetail,Synallaxis cherriei
,13719,,    S. c. saturata
,13720,,    S. c. napoensis
,13721,,    S. c. cherriei
,13722,,
,13723,Antbirds,Family Thamnophilidae
,13724,,Euchrepomis
,13725,Rufous-rumped Antwren,Euchrepomis callinota
,13726,,    E. c. callinota
,13727,,    E. c. peruviana
,13728,,    E. c. venezuelana
,13729,,    E. c. guianensis
,13730,Chestnut-shouldered Antwren,Euchrepomis humeralis
,13731,Yellow-rumped Antwren,Euchrepomis sharpei
,13732,Ash-winged Antwren,Euchrepomis spodioptila
,13733,,    E. s. signata
,13734,,    E. s. spodioptila
,13735,,    E. s. meridionalis
,13736,,Myrmornis
,13737,Wing-banded Antbird,Myrmornis torquata
,13738,,    M. t. stictoptera
,13739,,    M. t. torquata
,13740,,Pygiptila
,13741,Spot-winged Antshrike,Pygiptila stellaris
,13742,,    P. s. maculipennis
,13743,,    P. s. occipitalis
,13744,,    P. s. purusiana
,13745,,    P. s. stellaris
,13746,,Thamnistes
,13747,Russet Antshrike,Thamnistes anabatinus
,13748,,    T. a. anabatinus
,13749,,    T. a. saturatus
,13750,,    T. a. coronatus
,13751,,    T. a. intermedius
,13752,,    T. a. gularis
,13753,,    T. a. aequatorialis
,13754,Rufescent Antshrike,Thamnistes rufescens
,13755,,Microrhopias
,13756,Dot-winged Antwren,Microrhopias quixensis
,13757,,    M. q. boucardi
,13758,,    M. q. virgatus
,13759,,    M. q. consobrina
,13760,,    M. q. quixensis
,13761,,    M. q. intercedens
,13762,,    M. q. nigriventris
,13763,,    M. q. albicauda
,13764,,    M. q. microstictus
,13765,,    M. q. bicolor
,13766,,    M. q. emiliae
,13767,,Neoctantes
,13768,Black Bushbird,Neoctantes niger
,13769,,Clytoctantes
,13770,Recurve-billed Bushbird,Clytoctantes alixii
,13771,Rondonia Bushbird,Clytoctantes atrogularis
,13772,,Epinecrophylla
,13773,Checker-throated Stipplethroat,Epinecrophylla fulviventris
,13774,Ornate Stipplethroat,Epinecrophylla ornata
,13775,,    E. o. ornata
,13776,,    E. o. saturata
,13777,,    E. o. atrogularis
,13778,,    E. o. meridionalis
,13779,,    E. o. hoffmannsi
,13780,Rufous-tailed Stipplethroat,Epinecrophylla erythrura
,13781,,    E. e. erythrura
,13782,,    E. e. septentrionalis
,13783,White-eyed Stipplethroat,Epinecrophylla leucophthalma
,13784,,    E. l. dissita
,13785,,    E. l. leucophthalma
,13786,,    E. l. phaeonota
,13787,,    E. l. sordida
,13788,Brown-bellied Stipplethroat,Epinecrophylla gutturalis
,13789,Rufous-backed Stipplethroat,Epinecrophylla haematonota
,13790,,    E. h. haematonota
,13791,,    E. h. pyrrhonota
,13792,,    E. h. fjeldsaai
,13793,Foothill Stipplethroat,Epinecrophylla spodionota
,13794,,    E. s. spodionota
,13795,,    E. s. sororia
,13796,Rio Madeira Stipplethroat,Epinecrophylla amazonica
,13797,,    E. a. amazonica
,13798,,    E. a. dentei
,13799,,Myrmorchilus
,13800,Stripe-backed Antbird,Myrmorchilus strigilatus
,13801,,    M. s. strigilatus
,13802,,    M. s. suspicax
,13803,,Aprositornis
,13804,Yapacana Antbird,Aprositornis disjuncta
,13805,,Ammonastes
,13806,Grey-bellied Antbird,Ammonastes pelzelni
,13807,,Myrmophylax
,13808,Black-throated Antbird,Myrmophylax atrothorax
,13809,,    M. a. metae
,13810,,    M. a. atrothorax
,13811,,    M. a. tenebrosa
,13812,,    M. a. maynana
,13813,,    M. a. melanura
,13814,,Myrmotherula
,13815,Moustached Antwren,Myrmotherula ignota
,13816,,    M. i. ignota
,13817,,    M. i. obscura
,13818,Pygmy Antwren,Myrmotherula brachyura
,13819,Guianan Streaked Antwren,Myrmotherula surinamensis
,13820,Amazonian Streaked Antwren,Myrmotherula multostriata
,13821,Pacific Antwren,Myrmotherula pacifica
,13822,Cherrie's Antwren,Myrmotherula cherriei
,13823,Klages's Antwren,Myrmotherula klagesi
,13824,Stripe-chested Antwren,Myrmotherula longicauda
,13825,,    M. l. soderstromi
,13826,,    M. l. pseudoaustralis
,13827,,    M. l. longicauda
,13828,,    M. l. australis
,13829,Yellow-throated Antwren,Myrmotherula ambigua
,13830,Sclater's Antwren,Myrmotherula sclateri
,13831,White-flanked Antwren,Myrmotherula axillaris
,13832,,    M. a. albigula
,13833,,    M. a. melaena
,13834,,    M. a. heterozyga
,13835,,    M. a. axillaris
,13836,,    M. a. fresnayana
,13837,Silvery-flanked Antwren,Myrmotherula luctuosa
,13838,Slaty Antwren,Myrmotherula schisticolor
,13839,,    M. s. schisticolor
,13840,,    M. s. sanctaemartae
,13841,,    M. s. interior
,13842,Rio Suno Antwren,Myrmotherula sunensis
,13843,,    M. s. sunensis
,13844,,    M. s. yessupi
,13845,Salvadori's Antwren,Myrmotherula minor
,13846,Long-winged Antwren,Myrmotherula longipennis
,13847,,    M. l. longipennis
,13848,,    M. l. zimmeri
,13849,,    M. l. garbei
,13850,,    M. l. transitiva
,13851,,    M. l. ochrogyna
,13852,,    M. l. paraensis
,13853,Band-tailed Antwren,Myrmotherula urosticta
,13854,Ihering's Antwren,Myrmotherula iheringi
,13855,,    M. i. heteroptera
,13856,,    M. i. iheringi
,13857,,    M. i. oreni
,13858,Rio de Janeiro Antwren,Myrmotherula fluminensis
,13859,Yungas Antwren,Myrmotherula grisea
,13860,Unicolored Antwren,Myrmotherula unicolor
,13861,Alagoas Antwren,Myrmotherula snowi
,13862,Plain-winged Antwren,Myrmotherula behni
,13863,,    M. b. behni
,13864,,    M. b. yavii
,13865,,    M. b. inornata
,13866,,    M. b. camanii
,13867,Grey Antwren,Myrmotherula menetriesii
,13868,,    M. m. pallida
,13869,,    M. m. cinereiventris
,13870,,    M. m. menetriesii
,13871,,    M. m. berlepschi
,13872,,    M. m. omissa
,13873,Leaden Antwren,Myrmotherula assimilis
,13874,,    M. a. assimilis
,13875,,    M. a. transamazonica
,13876,,Terenura
,13877,Streak-capped Antwren,Terenura maculata
,13878,Orange-bellied Antwren,Terenura sicki
,13879,,Myrmochanes
,13880,Black-and-white Antbird,Myrmochanes hemileucus
,13881,,Formicivora
,13882,Narrow-billed Antwren,Formicivora iheringi
,13883,Black-hooded Antwren,Formicivora erythronotos
,13884,Southern White-fringed Antwren,Formicivora grisea
,13885,,    F. g. rufiventris
,13886,,    F. g. grisea
,13887,Northern White-fringed Antwren,Formicivora intermedia
,13888,,    F. i. alticincta
,13889,,    F. i. hondae
,13890,,    F. i. fumosa
,13891,,    F. i. intermedia
,13892,,    F. i. tobagensis
,13893,,    F. i. orenocensis
,13894,Serra Antwren,Formicivora serrana
,13895,,    F. s. serrana
,13896,,    F. s. interposita
,13897,,    F. s. littoralis
,13898,Black-bellied Antwren,Formicivora melanogaster
,13899,,    F. m. melanogaster
,13900,,    F. m. bahiae
,13901,Rusty-backed Antwren,Formicivora rufa
,13902,,    F. r. urubambae
,13903,,    F. r. chapmani
,13904,,    F. r. rufa
,13905,Sincora Antwren,Formicivora grantsaui
,13906,Marsh Antwren,Formicivora acutirostris
,13907,,    F. a. acutirostris
,13908,,    F. a. paludicola
,13909,,Dichrozona
