IOC,English name,Scientific name,Zimmer 1913,Ford 1957,Bray 1993,GBIF 2023,Bessey,McKelvie,Pine Ridge / Oglala
31409,Harris's Sparrow,Zonotrichia querula,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31410,White-throated Sparrow,Zonotrichia albicollis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31422,Vesper Sparrow,Pooecetes gramineus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31427,LeConte's Sparrow,Ammospiza leconteii,NA,NA,Confirmed,NA,Confirmed,NA,NA
31444,Baird's Sparrow,Centronyx bairdii,NA,NA,NA,NA,NA,NA,Confirmed
31445,Henslow's Sparrow,Centronyx henslowii,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
31449,Savannah Sparrow,Passerculus sandwichensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31470,Song Sparrow,Melospiza melodia,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31495,Lincoln's Sparrow,Melospiza lincolnii,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31499,Swamp Sparrow,Melospiza georgiana,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31573,Green-tailed Towhee,Pipilo chlorurus,NA,NA,NA,NA,NA,NA,Confirmed
31574,Spotted Towhee,Pipilo maculatus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31596,Eastern Towhee,Pipilo erythrophthalmus,NA,NA,NA,Confirmed,Confirmed,NA,NA
31600.5,Spotted x Eastern Towhee,Pipilo maculatus x erythrophthalmus,NA,NA,NA,Confirmed,Confirmed,NA,NA
31739,Yellow-breasted Chat,Icteria virens,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31745,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31747,Bobolink,Dolichonyx oryzivorus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31749,Western Meadowlark,Sturnella neglecta,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31752,Eastern Meadowlark,Sturnella magna,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31863,Bullock's Oriole,Icterus bullockii,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
31874,Baltimore Oriole,Icterus galbula,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31874.5,Bullock’s x Baltimore Oriole,Icterus bullockii x galbula,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
31907,Orchard Oriole,Icterus spurius,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31935,Red-winged Blackbird,Agelaius phoeniceus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31977,Brown-headed Cowbird,Molothrus ater,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
31989,Rusty Blackbird,Euphagus carolinus,Confirmed,NA,Confirmed,NA,Confirmed,NA,NA
31992,Brewer's Blackbird,Euphagus cyanocephalus,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
31994,Common Grackle,Quiscalus quiscula,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32021,Great-tailed Grackle,Quiscalus mexicanus,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
32092,Ovenbird,Seiurus aurocapilla,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32099,Louisiana Waterthrush,Parkesia motacilla,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
32100,Northern Waterthrush,Parkesia noveboracensis,Confirmed,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
32104,Blue-winged Warbler,Vermivora cyanoptera,NA,NA,Confirmed,NA,Confirmed,NA,NA
32106,Black-and-white Warbler,Mniotilta varia,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32120,Tennessee Warbler,Leiothlypis peregrina,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
32121,Orange-crowned Warbler,Leiothlypis celata,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32128,Nashville Warbler,Leiothlypis ruficapilla,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32131,Virginia's Warbler,Leiothlypis virginiae,NA,NA,NA,NA,NA,NA,Confirmed
32135,Connecticut Warbler,Oporornis agilis,NA,NA,Confirmed,NA,Confirmed,NA,NA
32150,MacGillivray's Warbler,Geothlypis tolmiei,NA,NA,NA,NA,NA,NA,Confirmed
32153,Mourning Warbler,Geothlypis philadelphia,NA,NA,Confirmed,Confirmed,Confirmed,NA,NA
32170,Common Yellowthroat,Geothlypis trichas,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32193,Hooded Warbler,Setophaga citrina,NA,NA,Hypothetical,Confirmed,Confirmed,NA,NA
32194,American Redstart,Setophaga ruticilla,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32196,Cape May Warbler,Setophaga tigrina,NA,NA,Confirmed,NA,Confirmed,NA,NA
32198,Northern Parula,Setophaga americana,Confirmed,NA,Confirmed,NA,Confirmed,NA,NA
32210,Bay-breasted Warbler,Setophaga castanea,NA,NA,Confirmed,Confirmed,Confirmed,NA,NA
32211,Blackburnian Warbler,Setophaga fusca,NA,NA,Confirmed,NA,Confirmed,NA,NA
32222,Mangrove Warbler,Setophaga petechia,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32257,Chestnut-sided Warbler,Setophaga pensylvanica,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
32258,Blackpoll Warbler,Setophaga striata,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
32259,Black-throated Blue Warbler,Setophaga caerulescens,NA,NA,NA,NA,NA,NA,Confirmed
32262,Palm Warbler,Setophaga palmarum,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
32266,Pine Warbler,Setophaga pinus,NA,NA,Confirmed,NA,Confirmed,NA,NA
32270.5,Myrtle/Audubon’s Warbler,Setophaga coronata/auduboni,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
32271,Myrtle Warbler,Setophaga coronata,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32274,Audubon's Warbler,Setophaga auduboni,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
32301,Townsend's Warbler,Setophaga townsendi,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
32304,Black-throated Green Warbler,Setophaga virens,NA,NA,Confirmed,NA,Confirmed,NA,NA
32419,Canada Warbler,Cardellina canadensis,NA,NA,Confirmed,NA,Confirmed,NA,NA
32420,Wilson's Warbler,Cardellina pusilla,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32506,Summer Tanager,Piranga rubra,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
32513,Scarlet Tanager,Piranga olivacea,NA,Confirmed,Extirpated,NA,Confirmed,NA,NA
32514,Western Tanager,Piranga ludoviciana,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
32578,Rose-breasted Grosbeak,Pheucticus ludovicianus,NA,NA,Extirpated,Confirmed,Confirmed,Confirmed,Confirmed
32579,Black-headed Grosbeak,Pheucticus melanocephalus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32582,Rose-breasted x Black-headed Grosbeak,Pheucticus ludovicianus x melanocephalus,NA,NA,NA,NA,NA,NA,Confirmed
32593,Northern Cardinal,Cardinalis cardinalis,Hypothetical,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32639,Dickcissel,Spiza americana,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32660,Blue Grosbeak,Passerina caerulea,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32668,Indigo Bunting,Passerina cyanea,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
32669,Lazuli Bunting,Passerina amoena,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
32669.5,Lazuli x Indigo Bunting,Passerina amoena x cyanea,NA,NA,NA,NA,NA,NA,Confirmed
