IOC,English name,Scientific name,Zimmer 1913,Ford 1957,Bray 1993,GBIF 2023,Bessey,McKelvie,Pine Ridge / Oglala
4090,Eurasian Collared Dove,Streptopelia decaocto,NA,NA,NA,Confirmed,Confirmed,NA,Confirmed
4420,Mourning Dove,Zenaida macroura,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5024,Virginia Rail,Rallus limicola,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,NA
5138,Sora,Porzana carolina,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5182,American Coot,Fulica americana,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5360,Sandhill Crane,Antigone canadensis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5377,Whooping Crane,Grus americana,NA,NA,Confirmed,NA,Confirmed,NA,NA
5421,Pied-billed Grebe,Podilymbus podiceps,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5446,Horned Grebe,Podiceps auritus,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
5449,Black-necked Grebe,Podiceps nigricollis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5460,Western Grebe,Aechmophorus occidentalis,NA,NA,NA,NA,NA,Confirmed,Confirmed
5463,Clark's Grebe,Aechmophorus clarkii,NA,NA,NA,NA,NA,NA,Confirmed
5620,Black-necked Stilt,Himantopus mexicanus,NA,NA,NA,NA,NA,Confirmed,NA
5629,American Avocet,Recurvirostra americana,NA,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
5687,American Golden Plover,Pluvialis dominica,NA,NA,NA,Confirmed,Confirmed,NA,NA
5700,Semipalmated Plover,Charadrius semipalmatus,NA,NA,Confirmed,NA,Confirmed,NA,NA
5711,Killdeer,Charadrius vociferus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5834,Upland Sandpiper,Bartramia longicauda,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5848,Long-billed Curlew,Numenius americanus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5867,Marbled Godwit,Limosa fedoa,NA,NA,NA,NA,NA,Confirmed,Confirmed
5895,Stilt Sandpiper,Calidris himantopus,NA,NA,Confirmed,NA,Confirmed,NA,NA
5921,Baird's Sandpiper,Calidris bairdii,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
5923,Least Sandpiper,Calidris minutilla,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
5924,White-rumped Sandpiper,Calidris fuscicollis,Confirmed,NA,Confirmed,NA,Confirmed,Confirmed,NA
5925,Buff-breasted Sandpiper,Calidris subruficollis,Confirmed,NA,Confirmed,NA,Confirmed,NA,NA
5926,Pectoral Sandpiper,Calidris melanotos,Confirmed,NA,Confirmed,NA,Confirmed,NA,Confirmed
5927,Semipalmated Sandpiper,Calidris pusilla,Confirmed,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
5928,Western Sandpiper,Calidris mauri,NA,NA,Confirmed,NA,Confirmed,NA,NA
5929,Dowitcher sp.,Limnodromus sp.,NA,NA,Confirmed,NA,Confirmed,NA,NA
5931,Long-billed Dowitcher,Limnodromus scolopaceus,NA,NA,NA,NA,NA,Confirmed,Confirmed
5975,Wilson's Snipe,Gallinago delicata,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
5991,Wilson's Phalarope,Phalaropus tricolor,NA,NA,Confirmed,NA,Confirmed,Confirmed,Confirmed
